gpu,model,dataset,batch_size,time_data,time_forward,time_backward,time_total
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0036,0.0056,0.0096
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0042,0.0060,0.0105
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0060,0.0105
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0060,0.0104
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0060,0.0104
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0060,0.0104
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0042,0.0057,0.0101
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0057,0.0101
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0042,0.0054,0.0099
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0053,0.0097
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0053,0.0097
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0053,0.0097
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0053,0.0098
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0060,0.0104
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0054,0.0098
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0042,0.0054,0.0098
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0053,0.0098
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0053,0.0097
NVIDIA A10G,resnet18,cifar10,64,0.0003,0.0041,0.0057,0.0101
NVIDIA A10G,resnet34,cifar10,64,0.0004,0.0062,0.0097,0.0163
NVIDIA A10G,resnet34,cifar10,64,0.0004,0.0076,0.0103,0.0183
NVIDIA A10G,resnet34,cifar10,64,0.0004,0.0074,0.0103,0.0181
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0074,0.0102,0.0180
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0075,0.0102,0.0180
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0077,0.0091,0.0172
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0074,0.0091,0.0168
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0074,0.0092,0.0169
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0074,0.0091,0.0169
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0074,0.0091,0.0168
NVIDIA A10G,resnet34,cifar10,64,0.0004,0.0077,0.0092,0.0173
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0074,0.0094,0.0172
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0078,0.0092,0.0173
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0074,0.0092,0.0170
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0074,0.0092,0.0169
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0074,0.0092,0.0169
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0074,0.0091,0.0168
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0077,0.0092,0.0172
NVIDIA A10G,resnet34,cifar10,64,0.0003,0.0074,0.0092,0.0169
NVIDIA A10G,resnet50,cifar10,64,0.0004,0.0086,0.0129,0.0218
NVIDIA A10G,resnet50,cifar10,64,0.0003,0.0094,0.0130,0.0228
NVIDIA A10G,resnet50,cifar10,64,0.0004,0.0097,0.0131,0.0232
