instance,model,model_size,storage,serialization_time,deserialization_time,to_gpu_time,from_gpu_time
g5.2xlarge,resnet18,44796930,ebs,0.0504,0.1575,0.0156,0.0269
g5.2xlarge,resnet18,44796930,ebs,0.0498,0.1571,0.0158,0.0266
g5.2xlarge,resnet18,44796930,ebs,0.0495,0.1567,0.0156,0.0270
g5.2xlarge,resnet18,44796930,ebs,0.0500,0.1566,0.0155,0.0268
g5.2xlarge,resnet18,44796930,ebs,0.0495,0.1529,0.0131,0.0154
g5.2xlarge,resnet34,85284162,ebs,0.0942,0.2937,0.0144,0.0122
g5.2xlarge,resnet34,85284162,ebs,0.0936,0.2979,0.0259,0.0408
g5.2xlarge,resnet34,85284162,ebs,0.0937,0.2931,0.0143,0.0122
g5.2xlarge,resnet34,85284162,ebs,0.0938,0.2961,0.0283,0.0513
g5.2xlarge,resnet34,85284162,ebs,0.0935,0.2928,0.0228,0.0210
g5.2xlarge,resnet50,94409514,ebs,0.1077,0.2911,0.0183,0.0156
g5.2xlarge,resnet50,94409514,ebs,0.1058,0.2861,0.0223,0.0155
g5.2xlarge,resnet50,94409514,ebs,0.1061,0.3069,0.0221,0.0155
g5.2xlarge,resnet50,94409514,ebs,0.1064,0.3045,0.0216,0.0155
g5.2xlarge,resnet50,94409514,ebs,0.1061,0.3041,0.0239,0.0156
g5.2xlarge,resnet101,170666210,ebs,0.1918,0.5191,0.0357,0.0302
g5.2xlarge,resnet101,170666210,ebs,0.1937,0.5239,0.0358,0.0302
g5.2xlarge,resnet101,170666210,ebs,0.1917,0.5261,0.0358,0.0302
g5.2xlarge,resnet101,170666210,ebs,0.1916,0.5239,0.0359,0.0303
g5.2xlarge,resnet101,170666210,ebs,0.1947,0.6017,0.0358,0.0302
g5.2xlarge,resnet152,233504410,ebs,0.2676,0.7229,0.0516,0.0437
g5.2xlarge,resnet152,233504410,ebs,0.2659,0.7199,0.0522,0.0436
g5.2xlarge,resnet152,233504410,ebs,0.2653,0.7205,0.0521,0.0435
g5.2xlarge,resnet152,233504410,ebs,0.2649,0.7195,0.0522,0.0435
g5.2xlarge,resnet152,233504410,ebs,0.2661,0.7227,0.0518,0.0434
g5.2xlarge,efficientnet-b0,21447946,ebs,0.0361,0.2447,0.0160,0.0106
g5.2xlarge,efficientnet-b0,21447946,ebs,0.0361,0.2613,0.0186,0.0107
g5.2xlarge,efficientnet-b0,21447946,ebs,0.0364,0.2439,0.0160,0.0103
g5.2xlarge,efficientnet-b0,21447946,ebs,0.0370,0.2491,0.0160,0.0105
g5.2xlarge,efficientnet-b0,21447946,ebs,0.0362,0.4219,0.0155,0.0104
g5.2xlarge,efficientnet-b1,31602810,ebs,0.0528,0.3186,0.0220,0.0184
