from_instance,from_az,to_instance,to_az,model_size,time
g5.2xlarge,us-east-1f,g5.2xlarge,us-west-2b,437991822,13.6623
g5.2xlarge,us-east-1f,g5.2xlarge,us-west-2b,437991822,16.0866
g5.2xlarge,us-east-1f,g5.2xlarge,us-west-2b,437991822,15.6118
g5.2xlarge,us-east-1f,g5.2xlarge,us-west-2b,437991822,8.9314
g5.2xlarge,us-east-1f,g5.2xlarge,us-west-2b,437991822,8.8613
g5.2xlarge,us-east-1f,g5.2xlarge,us-west-2b,437991822,8.9235
g5.2xlarge,us-east-1f,g5.2xlarge,us-west-2b,437991822,9.1737
g5.2xlarge,us-east-1f,g5.2xlarge,us-west-2b,437991822,8.9831
g5.2xlarge,us-east-1f,g5.2xlarge,us-west-2b,437991822,8.9272
g5.2xlarge,us-east-1f,g5.2xlarge,us-west-2b,437991822,9.0449
g5.2xlarge,us-east-1f,g5.2xlarge,ap-northeast-1a,437991822,21.7605
g5.2xlarge,us-east-1f,g5.2xlarge,ap-northeast-1a,437991822,21.5962
g5.2xlarge,us-east-1f,g5.2xlarge,ap-northeast-1a,437991822,21.2583
g5.2xlarge,us-east-1f,g5.2xlarge,ap-northeast-1a,437991822,21.3102
g5.2xlarge,us-east-1f,g5.2xlarge,ap-northeast-1a,437991822,21.7385
g5.2xlarge,us-east-1f,g5.2xlarge,ap-northeast-1a,437991822,21.1928
g5.2xlarge,us-east-1f,g5.2xlarge,ap-northeast-1a,437991822,21.5850
g5.2xlarge,us-east-1f,g5.2xlarge,ap-northeast-1a,437991822,21.5151
g5.2xlarge,us-east-1f,g5.2xlarge,ap-northeast-1a,437991822,21.6209
g5.2xlarge,us-east-1f,g5.2xlarge,ap-northeast-1a,437991822,21.6021
g5.2xlarge,us-east-1f,g5.2xlarge,eu-central-1b,437991822,12.8938
g5.2xlarge,us-east-1f,g5.2xlarge,eu-central-1b,437991822,12.5364
g5.2xlarge,us-east-1f,g5.2xlarge,eu-central-1b,437991822,12.5419
g5.2xlarge,us-east-1f,g5.2xlarge,eu-central-1b,437991822,12.8912
g5.2xlarge,us-east-1f,g5.2xlarge,eu-central-1b,437991822,13.1708
g5.2xlarge,us-east-1f,g5.2xlarge,eu-central-1b,437991822,13.3307
g5.2xlarge,us-east-1f,g5.2xlarge,eu-central-1b,437991822,13.1628
g5.2xlarge,us-east-1f,g5.2xlarge,eu-central-1b,437991822,13.3445
g5.2xlarge,us-east-1f,g5.2xlarge,eu-central-1b,437991822,14.0704
g5.2xlarge,us-east-1f,g5.2xlarge,eu-central-1b,437991822,13.8914
g5.2xlarge,us-east-1f,g5.2xlarge,sa-east-1a,437991822,16.0290
g5.2xlarge,us-east-1f,g5.2xlarge,sa-east-1a,437991822,15.7211
g5.2xlarge,us-east-1f,g5.2xlarge,sa-east-1a,437991822,15.8243
g5.2xlarge,us-east-1f,g5.2xlarge,sa-east-1a,437991822,15.8296
g5.2xlarge,us-east-1f,g5.2xlarge,sa-east-1a,437991822,15.8425
g5.2xlarge,us-east-1f,g5.2xlarge,sa-east-1a,437991822,16.2638
g5.2xlarge,us-east-1f,g5.2xlarge,sa-east-1a,437991822,15.7176
g5.2xlarge,us-east-1f,g5.2xlarge,sa-east-1a,437991822,15.7179
g5.2xlarge,us-east-1f,g5.2xlarge,sa-east-1a,437991822,15.8222
g5.2xlarge,us-east-1f,g5.2xlarge,sa-east-1a,437991822,15.8265
g5.2xlarge,us-west-2b,g5.2xlarge,us-east-1f,437991822,8.7911
g5.2xlarge,us-west-2b,g5.2xlarge,us-east-1f,437991822,8.7831
g5.2xlarge,us-west-2b,g5.2xlarge,us-east-1f,437991822,8.7870
