gpu,model,dataset,batch_size,step_time
Tesla T4,resnet18,cifar10,64,0.0138
Tesla T4,resnet18,cifar10,64,0.0146
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0142
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0150
Tesla T4,resnet18,cifar10,64,0.0148
Tesla T4,resnet18,cifar10,64,0.0142
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0142
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0139
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0142
Tesla T4,resnet18,cifar10,64,0.0144
Tesla T4,resnet18,cifar10,64,0.0692
Tesla T4,resnet18,cifar10,64,0.0143
Tesla T4,resnet18,cifar10,64,0.0142
Tesla T4,resnet18,cifar10,64,0.0147
Tesla T4,resnet18,cifar10,64,0.0144
Tesla T4,resnet18,cifar10,64,0.0145
Tesla T4,resnet18,cifar10,64,0.0145
Tesla T4,resnet18,cifar10,64,0.0144
Tesla T4,resnet18,cifar10,64,0.0142
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0142
Tesla T4,resnet18,cifar10,64,0.0142
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0142
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0142
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0142
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0143
Tesla T4,resnet18,cifar10,64,0.0645
Tesla T4,resnet18,cifar10,64,0.0143
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0141
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0140
Tesla T4,resnet18,cifar10,64,0.0140
